Date,Step Count,Distance (m),Calories Burned(cal x 10)
2021-07-06,1383,584.53445,0
2021-07-07,1389,526.4446,0
2021-07-08,8932,3749.5339,0
2021-07-09,3648,1626.851185,0
2021-07-10,7668,3326.993022,0
2021-07-11,2657,1050.623637,0
2021-07-12,994,380.937894,0
2021-07-13,16282,7166.361935,0
2021-07-14,6388,2679.89993,0
2021-07-15,10563,4512.654488,0
2021-07-16,6443,2793.415875,0
2021-07-17,14862,6333.249829,0
2021-07-18,13336,5266.280735,0
2021-07-19,2186,831.400912,0
2021-07-20,15338,6459.179196,0
2021-07-21,4037,1448.12427,0
2021-07-22,15144,6369.660238,0
2021-07-23,12626,5696.990527,0
2021-07-24,8740,3371.16743,0
2021-07-25,12472,4950.278639,0
2021-07-26,257,112.49304,0
2021-07-27,14166,6158.557844,0
2021-07-28,19625,7982.961322,0
2021-07-29,16694,7259.739179,0
2021-07-30,14913,6599.03337,0
2021-07-31,355,161.66832,0
2021-08-01,4268,1747.19912,0
2021-08-02,8779,3681.07279,0
2021-08-03,16740,7862.963893,0
2021-08-04,11981,5577.88857,0
2021-08-05,13626,6246.15017,0
2021-08-06,8941,3962.274335,0
2021-08-07,14681,6670.025826,0
2021-08-08,14018,6664.0579,0
2021-08-09,14738,6732.909718,0
2021-08-10,9555,4125.602703,0
2021-08-11,11985,5381.261933,0
2021-08-12,7366,3257.896364,0
2021-08-13,7642,3311.198393,0
2021-08-14,16391,6863.211998,0
2021-08-15,5821,2403.634252,0
2021-08-16,9375,4587.52637,0
2021-08-17,14555,5789.414337,0
2021-08-18,945,368.15382,0
2021-08-19,379,143.39381,0
2021-08-20,12645,6397.594247,0
2021-08-21,8181,3568.415137,0
2021-08-22,8830,3738.74508,0
2021-08-23,6838,2754.2008,0
2021-08-24,1284,535.08765,0
2021-08-25,16921,7537.558757,0
2021-08-26,8395,3556.88255,0
2021-08-27,883,377.3463,0
2021-08-28,3911,1837.3261,0
2021-08-29,5671,2266.31853,0
2021-08-30,9049,3974.42985,0
2021-08-31,9790,4421.1614,0
2021-09-01,6232,2889.1518,0
2021-09-02,8461,3950.08497,0
2021-09-03,5483,2689.871898,0
2021-09-04,15111,7189.15592,0
2021-09-05,6019,2655.17312,0
2021-09-06,5476,2466.7534,0
2021-09-07,17019,7724.467113,0
2021-09-08,9037,4288.45311,0
2021-09-09,7206,3040.20118,0
2021-09-10,17725,7528.67196,0
2021-09-11,17951,7387.443,0
2021-09-12,5310,2406.223476,0
2021-09-13,10171,4449.223432,0
2021-09-14,10448,4286.45429,0
2021-09-15,10369,4376.22491,0
2021-09-16,14675,6690.5714,0
2021-09-17,9138,4011.90938,0
2021-09-18,17641,7570.45332,0
2021-09-19,6024,2590.81715,0
2021-09-20,18565,8130.65453,0
2021-09-21,6944,2852.337366,0
2021-09-22,10003,4364.6648,0
2021-09-23,5279,2238.32259,0
2021-09-24,19068,7908.05934,0
2021-09-25,17544,7108.84993,0
2021-09-26,14121,5808.862434,0
2021-09-27,6177,2617.365701,0
2021-09-28,12026,5262.189516,0
2021-09-29,12089,5789.40084,0
2021-09-30,8888,4421.605055,0
2021-10-01,7025,2980.476562,0
2021-10-02,6805,2781.973242,0
2021-10-03,5700,2419.904362,0
2021-10-04,8607,3576.94863,0
2021-10-05,10231,4222.3068,0
2021-10-06,8430,3455.990945,0
2021-10-07,8940,3939.093792,0
2021-10-08,5291,2204.002197,0
2021-10-09,9246,3880.05123,0
2021-10-10,5570,2368.51298,0
2021-10-11,7238,2893.273786,0
2021-10-12,11132,5094.218454,0
2021-10-13,4644,1995.69993,0
2021-10-14,9638,3869.408947,0
2021-10-15,5211,2050.41437,0
2021-10-16,10255,4379.18729,0
2021-10-17,6613,2895.46188,0
2021-10-18,5927,2937.56023,0
2021-10-19,4837,2197.665881,0
2021-10-20,15241,7057.273577,0
2021-10-21,5633,2335.48479,0
2021-10-22,11397,5324.491654,0
2021-10-23,5455,2259.187165,0
2021-10-24,4886,2085.62359,0
2021-10-25,5623,2437.1867,0
2021-10-26,5452,2492.79348,0
2021-10-27,7957,3713.559679,0
2021-10-28,3172,1634.699573,0
2021-10-29,5603,2542.801292,0
2021-10-30,5606,2490.60704,0
2021-10-31,6861,3115.152392,0
2021-11-01,5521,2619.009518,0
2021-11-02,4421,1872.7417,0
2021-11-03,6308,2725.726761,0
2021-11-04,8819,4077.127927,0
2021-11-05,1299,519.14921,0
2021-11-06,1103,474.65864,0
2021-11-07,2927,1369.822078,0
2021-11-08,2885,1262.02342,0
2021-11-09,10837,5030.98493,0
2021-11-10,9649,4395.782043,0
2021-11-11,4378,1819.914824,0
2021-11-12,6723,2770.77017,0
2021-11-13,12978,5715.23403,0
2021-11-14,5738,2344.08847,0
2021-11-15,4648,1975.14029,0
2021-11-16,6444,2532.10714,0
